lon;lat;elev;value;prid;dqc;sct;rep;fg;fge_mean;fge_sd
17.9853;59.40222;30;0;3;0;0;1;NA;0;0.1
24.90136;59.5043;12;0;3;0;0;1;NA;0;0.1
12.57648;65.75291;44;0;3;0;0.11;1;0;0;0.1
12.56446;56.03366;41;0;3;0;0.01;1;NA;0;0.1
11.41481;55.6663;21;0;3;0;0.55;1;NA;0.3;0.7292
9.47729;55.85052;59;0.3;3;5;7.53;NA;NA;2.8;6.6576
10.0052;57.2589;27;0;3;8;NA;NA;0.3;3.2;3.8853
11.93439;57.8035;35;0;3;0;0.02;1;0;0;0.1
10.31968;57.09468;11;0.8;3;0;2.75;1;NA;2.1;2.3721
15.06645;59.16723;65;0;3;0;0.01;1;NA;0;0.1
16.55954;64.23696;353;0;3;7;0.7;1;NA;0;0.1
10.11055;56.44526;30;0.1;3;5;7.02;NA;NA;1.2;3.4824
24.86385;57.15584;97;0;3;0;1.39;1;NA;0;0.1
10.94585;59.13073;12;0;3;0;0.01;1;0;0;0.1
13.18829;55.37071;6;0;3;0;0.43;1;NA;0.2;0.2619
5.796;58.76763;130;0;3;8;NA;NA;6.6;0;0.1
5.77576;58.52915;13;0;3;8;NA;NA;5.6;0.1;0.397
16.20912;65.95996;415;0;3;7;2.28;1;NA;0;0.1
17.74904;60.54519;1;0;3;0;0.17;1;NA;0;0.1
24.26314;61.47777;99;0;3;0;0.07;1;NA;0;0.1
13.49794;55.48979;52;0;3;0;0.06;1;NA;0.3;0.9491
8.42959;58.24505;20;0;3;0;0.03;1;0;0.2;0.4141
13.13145;55.81918;29;0;3;0;0.1;1;NA;0;0.1
12.75426;56.09865;27;0;3;0;0;1;NA;0;0.1
10.59845;59.74302;82;0;3;8;NA;NA;0.5;0;0.1
19.50528;63.56773;19;0;3;0;0;1;NA;0;0.1
9.93785;60.23883;150;0;3;0;2.26;1;0;0;0.1
10.52101;63.39812;163;0;3;0;0;1;0;0;0.1
9.19585;60.35097;869;0.1;3;8;NA;NA;0.3;0.3;0.5459
24.08372;61.19796;97;0;3;0;0.01;1;NA;0.1;0.1152
9.52389;56.8084;49;0.7;3;0;3.71;1;NA;0.2;0.3137
5.3249;60.39149;11;0.7;3;8;NA;NA;1;1;0.8971
18.38721;59.9068;33;0;3;0;0.26;1;NA;0;0.1
11.87721;54.85976;6;3.8;3;5;10.55;NA;NA;2.3;2.5842
5.26553;60.31211;11;0;3;0;0.05;1;0;0.7;0.637
6.57984;58.10627;4;0;3;8;NA;NA;0.2;1;2.5264
10.29644;63.15849;50;0;3;0;0.29;1;0;0;0.1
10.7487;59.905;4;0;3;0;0;1;0;0;0.1
9.49521;55.64463;71;0;3;0;1.33;1;NA;1.2;2.5831
15.04082;58.43993;120;0;3;0;0;1;NA;0;0.1
6.74057;58.09489;27;0;3;8;NA;NA;1.1;1;2.0748
8.00539;59.44507;79;0.2;3;15;0.28;1;0;0.4;0.5149
13.12719;59.14441;77;0;3;0;0.35;1;0;0;0.1
5.34539;60.37447;34;0.7;3;0;0;1;0.6;1;0.8902
9.18441;63.56668;37;0;3;0;0.01;1;0;0;0.1
